Order,Ambler class,Protein name,Alternative protein names,Subfamily,GenPeptID,GenBankID,PubMedID (DOI),Sequence,Number of PDB structures,Mutants,Phenotype,Functional information,Natural (N) or Acquired (A)
3313,C,ADC-166,,ADC-1-like,AUD40663,MG601734,,view,,,,,N (Acinetobacter baumannii B7)
3314,C,ADC-167,,ADC-1-like,AUD40664,MG601735,,view,,,,,N (Acinetobacter baumannii T10)
3315,C,ADC-168,,ADC-1-like,AUD40665,MG601736,,view,,,,,N (Acinetobacter baumannii T16)
3316,C,ADC-169,,ADC-1-like,AUG98343,MG702533,,view,,,,,N (Acinetobacter baumannii SH27)
3317,C,ADC-170,,ADC-1-like,AUI41018,MF990804,,view,,,,,N (Acinetobacter baumannii 17A1832)
3318,C,ADC-171,,ADC-1-like,KCY26530,JMOH01000054,,view,,,,,N (Acinetobacter baumannii 1042969-1197)
3319,C,ADC-172,,ADC-1-like,EXD57031,JEZU01000044,,view,,,,,N (Acinetobacter baumannii 653020)
3320,C,ADC-173,,ADC-1-like,OBL86128,LZUL01000085,,view,,,,,N (Acinetobacter baumannii ABUH777)
3321,C,ADC-174,,ADC-1-like,AXC08546,MH594296,,view,,,,,N (Acinetobacter baumannii)
3322,C,ADC-175,,ADC-1-like,AXC08547,MH594297,,view,,,,,N (Acinetobacter baumannii)
3323,C,ADC-176,,ADC-1-like,ACJ39441,CP001182,,view,,,,,N (Acinetobacter baumannii AB0057)
3324,C,ADC-177,,ADC-1-like,AXC08549,MH594299,,view,,,,,N (Acinetobacter baumannii)
3325,C,ADC-178,,ADC-1-like,AXC08550,MH594300,,view,,,,,N (Acinetobacter baumannii)
3326,C,ADC-179,,ADC-1-like,AXC08551,MH594301,,view,,,,,N (Acinetobacter baumannii)
3327,C,ADC-180,,ADC-1-like,AXC08552,MH594302,,view,,,,,N (Acinetobacter baumannii)
3328,C,ADC-181,,ADC-1-like,AZK35803,MK248721,,view,,,,,N (Acinetobacter baumannii)
3329,C,ADC-182,,ADC-1-like,AYY88259,CP033869,,view,,,,ESBL,N (Acinetobacter baumannii)
3330,C,ADC-183,,ADC-1-like,AZK35805,MK248723,,view,,,,,N (Acinetobacter baumannii)
3331,C,ADC-184,,ADC-1-like,AGC09439,KC118541,,view,,,,,N (Acinetobacter baumannii)
3332,C,ADC-185,,ADC-1-like,QBC36171,MK482711,,view,,,,,N (Acinetobacter baumannii)
3333,C,ADC-186,,ADC-1-like,AXB15474,CP030106,,view,,,,ESBL,N (Acinetobacter baumannii)
3334,C,ADC-187,,ADC-1-like,QBC36173,MK482713,,view,,,,,N (Acinetobacter baumannii)
3335,C,ADC-188,,ADC-1-like,QBC36175,MK482715,,view,,,,,N (Acinetobacter baumannii)
3336,C,ADC-189,,ADC-1-like,QBC36176,MK482716,,view,,,,,N (Acinetobacter baumannii)
3337,C,ADC-190,,ADC-1-like,QBC36177,MK482717,,view,,,,,N (Acinetobacter baumannii)
3338,C,ADC-191,,ADC-1-like,EMT97706,APAX01000023,,view,,,,ESBL,N (Acinetobacter baumannii ABNIH6)
3339,C,ADC-192,,ADC-1-like,AOA49613,KU604557,,view,,,,,N (Acinetobacter baumannii)
3340,C,ADC-193,,ADC-1-like,ADI89941,CP002080,,view,,,,,N (Acinetobacter oleivorans DR1)
3341,C,ADC-194,,ADC-1-like,QBX33277,MK713327,,view,,,,,N (Acinetobacter calcoaceticus AC_2117)
3342,C,ADC-195,,ADC-1-like,QCF61855,MK840871,,view,,,,,N (Acinetobacter baumannii)
3343,C,ADC-196,,ADC-1-like,QDY98381,MN249721,,view,,,,ESBL,N (Acinetobacter baumannii)
3344,C,ADC-197,,ADC-1-like,QEJ73994,MN018169,,view,,,,,N (Acinetobacter baumannii 12A079)
3345,C,ADC-198,,ADC-1-like,QEJ73996,MN018171,,view,,,,,N (Acinetobacter baumannii 18A2080)
3346,C,ADC-199,,ADC-1-like,QEJ73997,MN018172,,view,,,,,N (Acinetobacter baumannii 18A2117)
3347,C,ADC-200,,ADC-1-like,QEJ73998,MN018173,,view,,,,,N (Acinetobacter baumannii 19A2601)
3348,C,ADC-201,,ADC-1-like,QEJ73999,MN018174,,view,,,,,N (Acinetobacter pittii 16A1504)
3349,C,ADC-202,,ADC-1-like,QEJ74000,MN018175,,view,,,,,N (Acinetobacter pittii 18A2277)
3350,C,ADC-203,,ADC-1-like,QEJ80825,MN370445,,view,,,,,N (Acinetobacter baumannii 17A1625)
3351,C,ADC-204,,ADC-1-like,QEJ80826,MN370446,,view,,,,,N (Acinetobacter baumannii 17A1960)
3352,C,ADC-205,,ADC-1-like,QEJ80827,MN370447,,view,,,,,N (Acinetobacter calcoaceticus 13A419)
3353,C,ADC-206,,ADC-1-like,QEJ80828,MN370448,,view,,,,,N (Acinetobacter pittii 16A1546)
3354,C,ADC-207,,ADC-1-like,QEJ80829,MN370449,,view,,,,,N (Acinetobacter pittii 16A1532)
3355,C,ADC-208,,ADC-1-like,QEJ80830,MN370450,,view,,,,,N (Acinetobacter pittii 13A363)
3356,C,ADC-209,,ADC-1-like,QEJ80831,MN370451,,view,,,,,N (Acinetobacter pittii 18A2303)
3357,C,ADC-210,,ADC-1-like,QEJ80832,MN370452,,view,,,,,N (Acinetobacter pittii 18A2411)
3358,C,ADC-211,,ADC-1-like,QEJ73995,MN018170,,view,,,,,N (Acinetobacter baumannii 12A229)
3359,C,ADC-212,,ADC-1-like,OTN05897,NGEQ01000025,,view,2,,,,N (Acinetobacter baumannii PR383)
3360,C,ADC-213,,ADC-1-like,OTR53589,NGFU01000029,,view,,,,,N (Acinetobacter baumannii ARLG1845)
3361,C,ADC-214,,ADC-1-like,OTR85897,NGGD01000042,,view,,,,,N (Acinetobacter baumannii ARLG1858)
3362,C,ADC-215,,ADC-1-like,OTT53070,NGHW01000028,,view,,,,,N (Acinetobacter baumannii ARLG1896)
3363,C,ADC-216,,ADC-1-like,OTT57830,NGHX01000050,,view,,,,,N (Acinetobacter baumannii ARLG1898)
3364,C,ADC-217,,ADC-1-like,OTT60833,NGHZ01000086,,view,,,,,N (Acinetobacter baumannii ARLG1900)
3365,C,ADC-218,,ADC-1-like,OTU52329,NGIV01000033,,view,,,,,N (Acinetobacter baumannii ARLG1864)
3366,C,ADC-219,,ADC-1-like,OTU79690,NGJF01000080,,view,2,,,,N (Acinetobacter baumannii ARLG1882)
3367,C,ADC-220,,ADC-1-like,OVN99777,NEQH01000054,,view,,,,,N (Acinetobacter baumannii ARLG-1777)
3368,C,ADC-221,,ADC-1-like,QGI88785,MN654470,,view,,,,,N (Acinetobacter pittii)
3369,C,ADC-222,,ADC-1-like,EXC36858,JEXI01000053,,view,,,,ESBL,N (Acinetobacter baumannii 951631)
3370,C,ADC-223,,ADC-1-like,OBR19538,LDDY01000005,,view,,,,,N (Acinetobacter baumannii)
3371,C,ADC-224,,ADC-1-like,OBE30875,LZBQ01000032,,view,,,,,N (Acinetobacter baumannii)
3372,C,ADC-225,,ADC-1-like,QGX04220,MN603399,,view,,,,,N (Acinetobacter baumannii)
3373,C,ADC-226,,ADC-1-like,EXA77464,JEWC01000044,,view,,,,ESBL,N (Acinetobacter baumannii 1202252)
3374,C,ADC-227,,ADC-1-like,QGX04222,MN603401,,view,,,,,N (Acinetobacter baumannii)
3375,C,ADC-228,,ADC-1-like,QGX04223,MN603402,,view,,,,,N (Acinetobacter baumannii)
3376,C,ADC-229,,ADC-1-like,QGX04224,MN603403,,view,,,,,N (Acinetobacter baumannii)
3377,C,ADC-230,,ADC-1-like,QGX04225,MN603404,,view,,,,,N (Acinetobacter baumannii)
3378,C,ADC-231,,ADC-1-like,QGX04227,MN603406,,view,,,,,N (Acinetobacter baumannii)
3379,C,ADC-232,,ADC-1-like,OBA29495,LZEV01000104,,view,,,,,N (Acinetobacter baumannii)
3380,C,ADC-233,,ADC-1-like,EXC72393,JEYW01000050,,view,,,,,N (Acinetobacter baumannii 1042969-1265)
3381,C,ADC-234,,ADC-1-like,KAF0597708,WUBY01000033,,view,,,,,N (Acinetobacter baumannii)
3382,C,ADC-235,,ADC-1-like,KAF0620133,WTZL01000031,,view,,,,ESBL,N (Acinetobacter baumannii)
3383,C,ADC-236,,ADC-1-like,QLB34755,CP046898,,view,,,,ESBL,N (Acinetobacter baumannii)
3384,C,ADC-237,,ADC-1-like,OTK49191,NGCA01000017,,view,,,,,N (Acinetobacter baumannii PR310)
3385,C,ADC-238,,ADC-1-like,EGY7227092,AAYNJD010000007,,view,,,,ESBL,N (Acinetobacter baumannii)
3386,C,ADC-239,,ADC-1-like,EXE72034,JEYB01000073,,view,,,,ESBL,N (Acinetobacter sp. 1566109)
3387,C,ADC-240,,ADC-1-like,ALJ87177,CP012952,,view,,,,ESBL,N (Acinetobacter baumannii)
3388,C,ADC-241,,ADC-1-like,EGY6368838,AAYNAR010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3389,C,ADC-242,,ADC-1-like,EGY6653416,AAYNDR010000007,,view,,,,ESBL,N (Acinetobacter baumannii)
3390,C,ADC-243,,ADC-1-like,HAV4197092,DADAQW010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3391,C,ADC-244,,ADC-1-like,ETQ71923,AYFQ01000120,,view,,,,ESBL,N (Acinetobacter baumannii UH5107)
3392,C,ADC-245,,ADC-1-like,EXE91732,JEYF01000012,,view,,,,ESBL,N (Acinetobacter sp. 1578804)
3393,C,ADC-246,,ADC-1-like,ETR00468,AYFK01000004,,view,,,,ESBL,N (Acinetobacter baumannii UH6507)
3394,C,ADC-247,,ADC-1-like,AYY53548,CP033768,,view,,,,ESBL,N (Acinetobacter baumannii)
3395,C,ADC-248,,ADC-1-like,ERH68455,AVST01000072,,view,,,,ESBL,N (Acinetobacter baumannii EGD-HP18)
3396,C,ADC-249,,ADC-1-like,EGY6094271,AAYMYH010000019,,view,,,,ESBL,N (Acinetobacter baumannii)
3397,C,ADC-250,,ADC-1-like,OTS26706,NGGN01000005,,view,,,,,N (Acinetobacter baumannii)
3398,C,ADC-251,,ADC-1-like,OTT95091,NGII01000039,,view,,,,,N (Acinetobacter baumannii)
3399,C,ADC-252,,ADC-1-like,OTU20214,NGIO01000031,,view,,,,ESBL,N (Acinetobacter pittii)
3400,C,ADC-253,,ADC-1-like,OTU44844,NGIW01000020,,view,,,,,N (Acinetobacter pittii)
3401,C,ADC-254,,ADC-1-like,EXE40908,JEXU01000001,,view,,,,,N (Acinetobacter baumannii 1546444)
3402,C,ADC-255,,ADC-1-like,ERL68177,AWOW01000007,,view,,,,ESBL,N (Acinetobacter nosocomialis M2)
3403,C,ADC-256,,ADC-1-like,HAV3701000,DADALT010000205,,view,,,,ESBL,N (Acinetobacter baumannii)
3404,C,ADC-257,,ADC-1-like,MBV6578165,JAESHC010000381,,view,,,,ESBL,N (Acinetobacter baumannii)
3405,C,ADC-258,,ADC-1-like,HAV4519842,DADAUB010000216,,view,,,,ESBL,N (Acinetobacter baumannii)
3406,C,ADC-259,,ADC-1-like,KKZ48792,JZBZ01000006,,view,,,,ESBL,N (Acinetobacter baumannii)
3407,C,ADC-260,,ADC-1-like,UCZ39549,OK396701,,view,,,,,N (Acinetobacter baumannii)
3408,C,ADC-261,,ADC-1-like,UGW32408,OL774887,,view,,,,,N (Acinetobacter baumannii)
3409,C,ADC-262,,ADC-1-like,MCA4302018,JAIWSZ010000003,,view,,,,ESBL,N (Acinetobacter baumannii)
3410,C,ADC-263,,ADC-1-like,EGY2544112,AAYLON010000085,,view,,,,ESBL,N (Acinetobacter baumannii)
3411,C,ADC-264,,ADC-1-like,UHO07591,OL901280,,view,,,,ESBL,N (Acinetobacter calcoaceticus)
3412,C,ADC-265,,ADC-1-like,OTL17060,NGCT01000067,,view,,,,,N (Acinetobacter pittii)
3413,C,ADC-266,,ADC-1-like,UOU25744,ON191578,,view,,,,ESBL,N (Acinetobacter nosocomialis)
3414,C,ADC-267,,ADC-1-like,UTQ48801,ON960904,,view,,,,ESBL,N (Acinetobacter baumannii)
3415,C,ADC-268,,ADC-1-like,EHM8006321,ABAJYE010000023,,view,,,,ESBL,N (Acinetobacter baumannii)
3416,C,ADC-269,,ADC-1-like,EXR49175,JFXH01000006,,view,,,,ESBL,N (Acinetobacter baumannii 1391434)
3417,C,ADC-270,,ADC-1-like,MBJ9492029,JADVMT010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3418,C,ADC-271,,ADC-1-like,HCA5308359,DAGXRS010000003,,view,,,,ESBL,N (Acinetobacter baumannii)
3419,C,ADC-272,,ADC-1-like,UTS94217,ON651464,,view,,,,ESBL,N (Acinetobacter baumannii)
3420,C,ADC-273,,ADC-1-like,UTS94218,ON651465,,view,,,,ESBL,N (Acinetobacter baumannii)
3421,C,ADC-274,,ADC-1-like,UTS94219,ON651466,,view,,,,ESBL,N (Acinetobacter baumannii)
3422,C,ADC-275,,ADC-1-like,UTS94220,ON651467,,view,,,,ESBL,N (Acinetobacter baumannii)
3423,C,ADC-276,,ADC-1-like,UTS94221,ON651468,,view,,,,ESBL,N (Acinetobacter baumannii)
3424,C,ADC-277,,ADC-1-like,UTS94222,ON651469,,view,,,,ESBL,N (Acinetobacter baumannii)
3425,C,ADC-278,,ADC-1-like,MBJ9474042,JADVMG010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3426,C,ADC-279,,ADC-1-like,MCQ1094612,JANEYC010000035,,view,,,,ESBL,N (Acinetobacter baumannii)
3427,C,ADC-280,,ADC-1-like,EIZ7533467,ABFMPC010000002,,view,,,,ESBL,N (Acinetobacter baumannii)
3428,C,ADC-281,,ADC-1-like,UTS94249,ON651496,,view,,,,ESBL,N (Acinetobacter lactucae)
3429,C,ADC-282,,ADC-1-like,UTS94250,ON651497,,view,,,,ESBL,N (Acinetobacter pittii)
3430,C,ADC-283,,ADC-1-like,UUM03672,OP131856,,view,,,,ESBL,N (Acinetobacter baumannii)
3431,C,ADC-284,,ADC-1-like,RDM51267,NBGG01000055,,view,,,,ESBL,N (Acinetobacter baumannii)
3432,C,ADC-285,,ADC-1-like,UVU92353,OP297829,,view,,,,ESBL,N (Acinetobacter pittii)
3433,C,ADC-286,,ADC-1-like,UZF98454,OP745003,,view,,,,ESBL,N (Acinetobacter pittii)
3434,C,ADC-287,,ADC-1-like,OCY30567,MDHS01000043,,view,,,,ESBL,N (Acinetobacter pittii)
3435,C,ADC-288,,ADC-1-like,PPC02561,NQXF01000002,,view,,,,ESBL,N (Acinetobacter pittii)
3436,C,ADC-289,,ADC-1-like,SSV40494,UFOZ01000002,,view,,,,ESBL,N (Acinetobacter nosocomialis)
3437,C,ADC-290,,ADC-1-like,UZQ18805,OP806905,,view,,,,ESBL,N (Acinetobacter baumannii)
3438,C,ADC-291,,ADC-1-like,AGH36247,CP003967,,view,,,,ESBL,N (Acinetobacter baumannii D1279779)
3439,C,ADC-292,,ADC-1-like,WP_274858813,NG_156960,,view,,,,ESBL,N (Acinetobacter pittii)
3440,C,ADC-293,,ADC-1-like,WEG44937,OQ592373,,view,,,,ESBL,N (Acinetobacter baumannii)
3441,C,ADC-294,,ADC-1-like,WEG44938,OQ592374,,view,,,,ESBL,N (Acinetobacter baumannii)
3442,C,ADC-295,,ADC-1-like,EKU38981,AMSS01000044,,view,,,,ESBL,N (Acinetobacter sp. WC-141)
3443,C,ADC-296,,,Assigned,,,,,,,,
3444,C,ADC-297,,,Assigned,,,,,,,,
3445,C,ADC-298,,,Assigned,,,,,,,,
3446,C,ADC-299,,,Assigned,,,,,,,,
3447,C,ADC-300,,,Assigned,,,,,,,,
3448,C,ADC-301,,,Assigned,,,,,,,,
3449,C,ADC-302,,ADC-1-like,EKB37862,AKAS01000011,,view,,,,ESBL,N (Acinetobacter baumannii Ab33333)
3450,C,ADC-303,,ADC-1-like,EHU1703587,AAYMYJ020000004,,view,,,,ESBL,N (Acinetobacter baumannii)
3451,C,ADC-304,,ADC-1-like,EJE7261073,ABGDUQ010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3452,C,ADC-305,,ADC-1-like,WP_272267218,NG_156967,,view,,,,ESBL,N (Acinetobacter baumannii)
3453,C,ADC-306,,ADC-1-like,WP_272372047,NG_156968,,view,,,,ESBL,N (Acinetobacter baumannii)
3454,C,ADC-307,,ADC-1-like,WP_272247217,NG_156969,,view,,,,ESBL,N (Acinetobacter baumannii)
3455,C,ADC-308,,ADC-1-like,MBK4745117,JABBFT010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3456,C,ADC-309,,ADC-1-like,WP_272326044,NG_156971,,view,,,,ESBL,N (Acinetobacter baumannii)
3457,C,ADC-310,,ADC-1-like,EXF21814,JEYP01000001,,view,,,,ESBL,N (Acinetobacter baumannii 1417041)
3458,C,ADC-311,,ADC-1-like,NUF89511,JABVBM010000030,,view,,,,ESBL,N (Acinetobacter baumannii)
3459,C,ADC-312,,ADC-1-like,EII7756836,ABDFTE010000002,,view,,,,ESBL,N (Acinetobacter baumannii)
3460,C,ADC-313,,ADC-1-like,WP_272333251,NG_156975,,view,,,,ESBL,N (Acinetobacter baumannii)
3461,C,ADC-314,,ADC-1-like,WP_272290549,NG_156976,,view,,,,ESBL,N (Acinetobacter baumannii)
3462,C,ADC-315,,ADC-1-like,WP_031380135,NG_156977,,view,,,,ESBL,N (Acinetobacter baumannii)
3463,C,ADC-316,,ADC-1-like,WP_272273772,NG_156978,,view,,,,ESBL,N (Acinetobacter baumannii)
3464,C,ADC-317,,ADC-1-like,WP_272389475,NG_156979,,view,,,,ESBL,N (Acinetobacter baumannii)
3465,C,ADC-318,,ADC-1-like,WP_272311194,NG_156980,,view,,,,ESBL,N (Acinetobacter baumannii)
3466,C,ADC-319,,ADC-1-like,WP_272284684,NG_156981,,view,,,,ESBL,N (Acinetobacter baumannii)
3467,C,ADC-320,,ADC-1-like,WP_272236549,NG_156982,,view,,,,ESBL,N (Acinetobacter baumannii)
3468,C,ADC-321,,ADC-1-like,WP_262093836,NG_156983,,view,,,,ESBL,N (Acinetobacter baumannii)
3469,C,ADC-322,,ADC-1-like,WP_272291658,NG_156984,,view,,,,ESBL,N (Acinetobacter baumannii)
3470,C,ADC-323,,ADC-1-like,WP_272359117,NG_156985,,view,,,,ESBL,N (Acinetobacter baumannii)
3471,C,ADC-324,,ADC-1-like,WP_272276659,NG_156986,,view,,,,ESBL,N (Acinetobacter baumannii)
3472,C,ADC-325,,ADC-1-like,MCT9383172,JAHPTD010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3473,C,ADC-326,,ADC-1-like,WP_272315880,NG_156988,,view,,,,ESBL,N (Acinetobacter baumannii)
3474,C,ADC-327,,ADC-1-like,EIJ9033612,ABDJSY010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3475,C,ADC-328,,ADC-1-like,AOM85301,CP012587,,view,,,,ESBL,N (Acinetobacter baumannii)
3476,C,ADC-329,,ADC-1-like,WP_272312953,NG_156991,,view,,,,ESBL,N (Acinetobacter baumannii)
3477,C,ADC-330,,ADC-1-like,WP_272357959,NG_156992,,view,,,,ESBL,N (Acinetobacter baumannii)
3478,C,ADC-331,,ADC-1-like,WP_272305010,NG_156993,,view,,,,ESBL,N (Acinetobacter baumannii)
3479,C,ADC-332,,ADC-1-like,WP_272289597,NG_156994,,view,,,,ESBL,N (Acinetobacter baumannii)
3480,C,ADC-333,,ADC-1-like,WP_272321894,NG_156995,,view,,,,ESBL,N (Acinetobacter baumannii)
3481,C,ADC-334,,ADC-1-like,ELW79232,AMFR01000082,,view,,,,ESBL,N (Acinetobacter sp. OIFC021)
3482,C,ADC-335,,ADC-1-like,WIU89417,OR102460,,view,,,,ESBL,N (Acinetobacter seifertii)
3483,C,ADC-336,,ADC-1-like,EGY5284444,AAYMQG010000018,,view,,,,ESBL,N (Acinetobacter baumannii)
3484,C,ADC-337,,ADC-1-like,HCW4295294,DAKMFG010000015,,view,,,,ESBL,N (Acinetobacter baumannii)
3485,C,ADC-338,,ADC-1-like,MDH2594334,JARVZN010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3486,C,ADC-339,,ADC-1-like,HAV4519810,DADAUB010000200,,view,,,,ESBL,N (Acinetobacter baumannii)
3487,C,ADC-340,,ADC-1-like,WLF01976,OR367333,,view,,,,ESBL,N (Acinetobacter baumannii)
3488,C,ADC-341,,ADC-1-like,WLF01977,OR367334,,view,,,,ESBL,N (Acinetobacter baumannii)
3489,C,ADC-342,,ADC-1-like,MCA4182138,JAIWSO010000054,,view,,,,ESBL,N (Acinetobacter baumannii)
3490,C,ADC-343,,ADC-1-like,BER91151,LC777322,,view,,,,ESBL,N (Acinetobacter pittii)
3491,C,ADC-344,,ADC-1-like,HCT1752637,DAJZEF010000002,,view,,,,ESBL,N (Acinetobacter baumannii)
3492,C,ADC-345,,ADC-1-like,MDY7271281,JAXKRC010000025,,view,,,,ESBL,N (Acinetobacter baumannii)
3493,C,ADC-346,,ADC-1-like,BEV74606,LC794503,,view,,,,ESBL,N (Acinetobacter baumannii)
3494,C,ADC-347,,ADC-1-like,HDX5930622,DAPPGQ010000001,,view,,,,ESBL,N (Acinetobacter baumannii)
3495,C,ADC-348,,ADC-1-like,PCM90145,NXHM01000037,,view,,,,ESBL,N (Acinetobacter baumannii)
3496,C,ADC-349,,ADC-1-like,HDV0602813,DAPGID010000203,,view,,,,ESBL,N (Acinetobacter baumannii)
3497,C,ADC-350,,ADC-1-like,ARG16312,CP020588,,view,,,,ESBL,N (Acinetobacter nosocomialis)
3498,C,ADC-351,,ADC-1-like,WVW91702,PP328949,,view,,,,ESBL,N (Acinetobacter pittii)
3499,C,ADC-352,,ADC-1-like,WVW91703,PP328950,,view,,,,ESBL,N (Acinetobacter pittii)
3500,C,ADC-353,,ADC-1-like,WVW91704,PP328951,,view,,,,ESBL,N (Acinetobacter sp.)
3501,C,ADC-354,,ADC-1-like,XGB73521,PQ203893,,view,,,,ESBL,N (Acinetobacter baumannii 24A4141)
3502,C,ADC-355,,ADC-1-like,XGB73522,PQ203894,,view,,,,ESBL,N (Acinetobacter baumannii 24A4018)
3503,C,ADC-356,,ADC-1-like,XGB73523,PQ203895,,view,,,,ESBL,N (Acinetobacter baumannii 24A4062)
3504,C,ADC-357,,ADC-1-like,XGB73524,PQ203896,,view,,,,ESBL,N (Acinetobacter pittii 24A4042)
3505,C,ADC-358,,ADC-1-like,XGB73525,PQ203897,,view,,,,ESBL,N (Acinetobacter nosocomialis 24A4020)
3506,C,ADC-359,,ADC-1-like,XHE66941,PQ323407,,view,,,,,N (Acinetobacter baumannii 24A4190)
3507,C,ADC-P1,ADC-69,ADC-1-like,AGV39975,KF134400,24306098 (DOI),view,,,,,N (Acinetobacter baumannii)
3508,C,AMZ-1,,,WGJ88903,CP123364,37808287 (DOI),view,,,,,N (Achromobacter mucicolens)
3509,C,ASA3-1,ASA-3,,TMX12655,VCSB01000078,7889949 (DOI),view,,,1,,N (Aeromonas salmonicida subsp. achromogenes 23053)
3510,C,ASA3-2,,,ASI24280,CP022175,,view,,,,,N (Aeromonas salmonicida S121)
3511,C,ASA3-3,,,WP_081045245,NZ_JZTI01000114,,view,,,,,N (Aeromonas salmonicida subsp. Smithia JF4097)
3512,C,ASA3-4,,,AYO62422,CP027000,,view,,,,,N (Aeromonas salmonicida subsp. salmonicida 01-B526)
3513,C,ASA3-5,,,WP_081100725,NZ_JZTF01000008,,view,,,,,N (Aeromonas salmonicida Y47)
3514,C,ASA3-6,,,OHY89801,MKFU01000034,,view,,,,,N (Aeromonas sobria 08005)
3515,C,ASA3-7,,,EQC03764,ARYZ02000043,,view,,,,,N (Aeromonas salmonicida subsp. pectinolytica 34mel)
3516,C,ASA3-8,,,WP_042037504,NZ_CDBI01000070,,view,,,,,N (Aeromonas popoffii CIP 105493)
3517,C,ASA3-9,,,WP_082030384,NZ_CDBL01000037,,view,,,,,N (Aeromonas piscicola LMG 24783)
3518,C,ASA3-10,,,KFN20113,JPWL01000010,,view,,,,,N (Aeromonas salmonicida CBA100)
3519,C,ASA3-11,,,WP_043556312,NZ_CDDA01000023,,view,,,,,N (Aeromonas bestiarum CECT 4227)
3520,C,ASA3-12,,,WP_081097795,NZ_JZTH01000001,,view,,,,,N (Aeromonas salmonicida Y577)
3521,C,ASA3-13,,,OCA64925,LYXO01000005,,view,,,,,N (Aeromonas piscicola AH-3)
3522,C,ASA3-14,,,ATL99015,CP023818,,view,,,,,N (Aeromonas sp. CA23)
3523,C,ASA3-15,,,ARW81099,CP021654,,view,,,,,N (Aeromonas sp. O23A)
3524,C,ASA3-16,,,PBO11557,NVQH01000014,,view,,,,,N (Aeromonas salmonicida ECFood+05)
3525,C,ASA3-17,,,ATU98717,CP022550,,view,,,,,N (Aeromonas salmonicida A527)
3526,C,ASA3-18,,,POG24337,PPUX01000002,,view,,,,,N (Aeromonas bestiarum GA97-22)
3527,C,ASA3-19,,,VFB08520,CAACYG010000002,,view,,,,,N (Aeromonas salmonicida 3012STDY7122732)
3528,C,ASA3-20,,,TNI79564,NKWK01000105,,view,,,,,N (Aeromonas salmonicida CIP 104001)
3529,C,ASA3-21,,,MUG29161,VOIP01000012,,view,,,,,N (Aeromonas salmonicida JF2480)
3530,C,ASA3-22,,,HAT04739,DMXS01000060,,view,,,,,N (Aeromonas salmonicida)
3531,C,ASA3-23,,,WP_169045619,NZ_CP051883,,view,,,,,N (Aeromonas salmonicida SRW-OG1)
3532,C,ASA3-24,,,RSM32783,PSZJ01000005,,view,,,,,N (Aeromonas salmonicida A308)
3533,C,ASA3-25,,,PTT53139,QAIP01000183,,view,,,,,N (Aeromonas sp. HMWF014)
3534,C,ASA3-26,,,VXA80125,CABWLA010000031,,view,,,,,N (Aeromonas salmonicida)
3535,C,ASA3-27,,,RAJ09417,QLLM01000001,,view,,,,,N (Aeromonas salmonicida 17)
3536,C,ASA3-28,,,MHO04373,RNRV01000011,,view,,,,,N (Escherichia coli CVM N17EC0388)
3537,C,ASA3-29,,,WP_113720114,NZ_NXBT01000003,,view,,,,,N (Aeromonas salmonicida Z5-5)
3538,C,ASA3-30,,,RSM30672,PSZK01000003,,view,,,,,N (Aeromonas salmonicida 947C)
3539,C,AQU-1,,,BAM76828,AB765393,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A2-155)
3540,C,AQU-2,,,BAM76829,AB765394,24055254 (DOI),view,,,,,N (Aeromonas dhakensis MDC47T)
3541,C,AQU-3,,,BAM76832,AB765397,24055254 (DOI),view,,,,,N (Aeromonas dhakensis LMG19562)
3542,C,AQU-4,,,BAM76823,AB765388,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A2-94)
3543,C,AQU-5,,,BAM76824,AB765389,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A2-159)
3544,C,AQU-6,,,BAM76825,AB765390,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A2-61)
3545,C,AQU-7,,,BAM76827,AB765392,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A572)
3546,C,AQU-8,,,BAM76830,AB765395,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A2-157)
3547,C,AQU-9,,,BAM76831,AB765396,24055254 (DOI),view,,,,,N (Aeromonas dhakensis A2-13)
3548,C,AQU-10,,,WP_017778462,NZ_AOBN01000003,,view,,,,,N (Aeromonas hydrophila 173)
3549,C,AQU-11,,,WP_017788553,NZ_AOBQ01000025,,view,,,,,N (Aeromonas hydrophila 277)
3550,C,AQU-12,,,WP_024941871,NZ_JEMK01000016,,view,,,,,N (Aeromonas hydrophila 145)
3551,C,AQU-13,,,AHV34333,CP007518,,view,,,,,N (Aeromonas hydrophila YL17)
3552,C,AQU-14,,,WP_026141143,NZ_AOBO01000033,,view,,,,,N (Aeromonas hydrophila 187)
